Date,Open,High,Low,Close,Adj Close,Volume
3/29/2022,176.690002,179.009995,176.339996,178.960007,177.882446,100589400
3/30/2022,178.550003,179.610001,176.699997,177.770004,176.699615,92633200
3/31/2022,177.839996,178.029999,174.399994,174.610001,173.55864,103049300
4/1/2022,174.029999,174.880005,171.940002,174.309998,173.260437,78751300
4/4/2022,174.570007,178.490005,174.440002,178.440002,177.36557,76468400
4/5/2022,177.5,178.300003,174.419998,175.059998,174.00592,73401800
4/6/2022,172.360001,173.630005,170.130005,171.830002,170.795395,89058800
4/7/2022,171.160004,173.360001,169.850006,172.139999,171.1035,77594700
4/8/2022,171.779999,171.779999,169.199997,170.089996,169.065857,76575500
4/11/2022,168.710007,169.029999,165.5,165.75,164.751984,72246700
4/12/2022,168.020004,169.869995,166.639999,167.660004,166.650497,79265200
4/13/2022,167.389999,171.039993,166.770004,170.399994,169.373978,70618900
4/14/2022,170.619995,171.270004,165.039993,165.289993,164.294739,75329400
4/18/2022,163.919998,166.600006,163.570007,165.070007,164.07608,69023900
4/19/2022,165.020004,167.820007,163.910004,167.399994,166.392029,67723800
4/20/2022,168.759995,168.880005,166.100006,167.229996,166.223053,67929800
4/21/2022,168.910004,171.529999,165.910004,166.419998,165.417938,87227800
4/22/2022,166.460007,167.869995,161.5,161.789993,160.815811,84882400
4/25/2022,161.119995,163.169998,158.460007,162.880005,161.899261,96046400
4/26/2022,162.25,162.339996,156.720001,156.800003,155.855881,95623200
4/27/2022,155.910004,159.789993,155.380005,156.570007,155.627274,88063200
4/28/2022,159.25,164.520004,158.929993,163.639999,162.654678,130216800
4/29/2022,161.839996,166.199997,157.25,157.649994,156.700745,131747600
5/2/2022,156.710007,158.229996,153.270004,157.960007,157.008881,123055300
5/3/2022,158.149994,160.710007,156.320007,159.479996,158.51973,88966500
5/4/2022,159.669998,166.479996,159.259995,166.020004,165.02037,108256500
5/5/2022,163.850006,164.080002,154.949997,156.770004,155.826065,130525300
5/6/2022,156.009995,159.440002,154.179993,157.279999,156.562668,116124600
5/9/2022,154.929993,155.830002,151.490005,152.059998,151.366486,131577900
5/10/2022,155.520004,156.740005,152.929993,154.509995,153.805298,115366700
5/11/2022,153.5,155.449997,145.809998,146.5,145.831848,142689800
5/12/2022,142.770004,146.199997,138.800003,142.559998,141.909805,182602000
5/13/2022,144.589996,148.100006,143.110001,147.110001,146.439072,113990900
5/16/2022,145.550003,147.520004,144.179993,145.539993,144.876221,86643800
5/17/2022,148.860001,149.770004,146.679993,149.240005,148.559357,78336300
5/18/2022,146.850006,147.360001,139.899994,140.820007,140.17775,109742900
5/19/2022,139.880005,141.660004,136.600006,137.350006,136.723572,136095600
5/20/2022,139.089996,140.699997,132.610001,137.589996,136.962463,137426100
5/23/2022,137.789993,143.259995,137.649994,143.110001,142.457291,117726300
5/24/2022,140.809998,141.970001,137.330002,140.360001,139.719833,104132700
5/25/2022,138.429993,141.789993,138.339996,140.520004,139.87912,92482700
5/26/2022,137.389999,144.339996,137.139999,143.779999,143.124237,90601500
5/27/2022,145.389999,149.679993,145.259995,149.639999,148.95752,90978500
5/31/2022,149.070007,150.660004,146.839996,148.839996,148.161179,103718400
6/1/2022,149.899994,151.740005,147.679993,148.710007,148.031769,74286600
6/2/2022,147.830002,151.270004,146.860001,151.210007,150.52037,72348100
6/3/2022,146.899994,147.970001,144.460007,145.380005,144.716949,88570300
6/6/2022,147.029999,148.570007,144.899994,146.139999,145.473495,71598400
6/7/2022,144.350006,149,144.100006,148.710007,148.031769,67808200
6/8/2022,148.580002,149.869995,147.460007,147.960007,147.285187,53950200
6/9/2022,147.080002,147.949997,142.529999,142.639999,141.989441,69473000
6/10/2022,140.279999,140.759995,137.059998,137.130005,136.504578,91437900
6/13/2022,132.869995,135.199997,131.440002,131.880005,131.278519,122207100
6/14/2022,133.130005,133.889999,131.479996,132.759995,132.154495,84784300
6/15/2022,134.289993,137.339996,132.160004,135.429993,134.812317,91533000
6/16/2022,132.080002,132.389999,129.039993,130.059998,129.466812,108123900
6/17/2022,130.070007,133.080002,129.809998,131.559998,130.959976,134520300
6/21/2022,133.419998,137.059998,133.320007,135.869995,135.25032,81000500
6/22/2022,134.789993,137.759995,133.910004,135.350006,134.732697,73409200
6/23/2022,136.820007,138.589996,135.630005,138.270004,137.639374,72433800
6/24/2022,139.899994,141.910004,139.770004,141.660004,141.013916,89116800
6/27/2022,142.699997,143.490005,140.970001,141.660004,141.013916,70207900
6/28/2022,142.130005,143.419998,137.320007,137.440002,136.813171,67083400
6/29/2022,137.460007,140.669998,136.669998,139.229996,138.595001,66242400
6/30/2022,137.25,138.369995,133.770004,136.720001,136.096451,98964500
7/1/2022,136.039993,139.039993,135.660004,138.929993,138.296356,71051600
7/5/2022,137.770004,141.610001,136.929993,141.559998,140.914368,73353800
7/6/2022,141.350006,144.119995,141.080002,142.919998,142.268173,74064300
7/7/2022,143.289993,146.550003,143.279999,146.350006,145.682541,66253700
7/8/2022,145.259995,147.550003,145,147.039993,146.36937,64547800
7/11/2022,145.669998,146.639999,143.779999,144.869995,144.209259,63141600
7/12/2022,145.759995,148.449997,145.050003,145.860001,145.194748,77588800
7/13/2022,142.990005,146.449997,142.119995,145.490005,144.826447,71185600
7/14/2022,144.080002,148.949997,143.25,148.470001,147.792847,78140700
7/15/2022,149.779999,150.860001,148.199997,150.169998,149.485107,76259900
7/18/2022,150.740005,151.570007,146.699997,147.070007,146.399246,81420900
7/19/2022,147.919998,151.229996,146.910004,151,150.31131,82982400
7/20/2022,151.119995,153.720001,150.369995,153.039993,152.34201,64823400
7/21/2022,154.5,155.570007,151.940002,155.350006,154.641479,65086600
7/22/2022,155.389999,156.279999,153.410004,154.089996,153.387222,66675400
7/25/2022,154.009995,155.039993,152.279999,152.949997,152.252426,53623900
7/26/2022,152.259995,153.089996,150.800003,151.600006,150.9086,55138700
7/27/2022,152.580002,157.330002,152.160004,156.789993,156.074905,78620700
7/28/2022,156.979996,157.639999,154.410004,157.350006,156.63237,81378700
7/29/2022,161.240005,163.630005,159.5,162.509995,161.768814,101786900
8/1/2022,161.009995,163.589996,160.889999,161.509995,160.773392,67829400
8/2/2022,160.100006,162.410004,159.630005,160.009995,159.280212,59907000
8/3/2022,160.839996,166.589996,160.75,166.130005,165.372314,82507500
8/4/2022,166.009995,167.190002,164.429993,165.809998,165.053772,55474100
8/5/2022,163.210007,165.850006,163,165.350006,164.824509,56697000
8/8/2022,166.369995,167.809998,164.199997,164.869995,164.346024,60276900
